"pred","pred_cimke","pred_rovid","csoport","irany_van","out","out_cimke","blokk","out_rovid","rho","n","r_ns","adat_P_pos","adat_median","adat_q05","adat_q95","prior_P_pos","post_P_pos","post_median","post_q05","post_q95","elmozdulas_prior_to_post"
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",-0.4857,6,-0.4737,0.2317,-0.255,-0.767,0.354,0.98,0.9367,0.16,-0.164,0.604,-0.0433
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0.058,6,-0.0491,0.4711,-0.024,-0.599,0.559,0.98,0.9777,0.22,0.012,0.678,-0.0023
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",0,6,-0.1333,0.4228,-0.067,-0.632,0.523,0.98,0.9729,0.206,0.009,0.662,-0.0071
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0.3189,6,0.2998,0.6709,0.154,-0.447,0.697,0.98,0.9901,0.294,0.026,0.753,0.0101
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",-0.5409,6,-0.4947,0.2203,-0.269,-0.775,0.341,0.98,0.9327,0.157,-0.202,0.6,-0.0473
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",-0.4857,6,-0.4908,0.2224,-0.267,-0.774,0.344,0.98,0.9334,0.157,-0.195,0.601,-0.0466
"F1","F1 · felső gerincmagasság (mm)","F1 gerincmagasság ↓","Felső állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",-0.4119,6,-0.4223,0.2598,-0.224,-0.746,0.384,0.98,0.9451,0.166,-0.069,0.612,-0.0349
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0.7143,6,0.6703,0.8711,0.401,-0.211,0.849,0.5,0.8716,0.401,-0.211,0.849,0.3716
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.6,6,0.6208,0.8458,0.359,-0.253,0.828,0.5,0.8463,0.36,-0.253,0.828,0.3463
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",0.7714,6,0.8377,0.9499,0.585,0,0.924,0.5,0.9501,0.585,0.001,0.924,0.4501
